,model_name,init_time,readme_time,init_readme_diff
1742,henryk/bert-base-multilingual-cased-finetuned-polish-squad1,2020-04-02,Thu Apr 2 11:09:36 2020 +0000,0 days 00:00:06
14873,mrm8488/spanbert-base-finetuned-squadv1,2020-04-03,Fri Dec 11 22:54:58 2020 +0100,252 days 05:28:22
29160,mrm8488/spanbert-base-finetuned-squadv2,2020-04-03,Fri Dec 11 22:55:01 2020 +0100,252 days 05:31:29
28904,mrm8488/spanbert-large-finetuned-squadv2,2020-04-03,Fri Dec 11 22:55:16 2020 +0100,252 days 05:55:37
5129,mrm8488/spanbert-large-finetuned-squadv1,2020-04-03,Fri Dec 11 22:55:13 2020 +0100,252 days 05:53:05
16641,mrm8488/spanbert-large-finetuned-tacred,2020-04-03,Fri Dec 11 22:55:19 2020 +0100,252 days 05:48:03
7621,mrm8488/spanbert-base-finetuned-tacred,2020-04-03,Fri Dec 11 22:55:04 2020 +0100,252 days 05:35:46
15973,jcblaise/bert-tagalog-base-uncased,2020-04-05,Fri Dec 11 22:47:06 2020 +0100,250 days 11:13:15
12150,jcblaise/bert-tagalog-base-cased-WWM,2020-04-05,Fri Dec 11 22:46:55 2020 +0100,250 days 11:09:47
27144,allenai/biomed_roberta_base,2020-04-05,Fri Dec 11 22:33:00 2020 +0100,250 days 18:43:26
25041,jcblaise/bert-tagalog-base-uncased-WWM,2020-04-05,Fri Dec 11 22:47:02 2020 +0100,250 days 11:07:38
20364,jcblaise/bert-tagalog-base-cased,2020-04-05,Fri Dec 11 22:46:59 2020 +0100,250 days 11:17:59
20209,seyonec/ChemBERTa-zinc-base-v1,2020-04-07,Fri Dec 11 23:01:51 2020 +0100,248 days 18:13:42
